sent_bytes,nfast_retrans,ntimeouts,cwin,sample_rtt,cur_send_queue,rwin,sum_rtt,max_send_queue
[419840],[0],[0],[10],[16],[0],[512],[0.00402],[0]
"[419840, 419840]","[0, 0]","[0, 0]","[10, 10]","[16, 18]","[0, 0]","[512, 512]","[0.00402, 0.004903]","[0, 0]"
"[419840, 419840, 419840]","[0, 0, 0]","[0, 0, 0]","[10, 10, 10]","[16, 18, 6]","[0, 0, 0]","[512, 512, 512]","[0.00402, 0.004903, 0.002065]","[0, 0, 0]"
"[419840, 419840, 419840, 419840]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10, 10, 10, 10]","[16, 18, 6, 6]","[0, 0, 0, 0]","[512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978]","[0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10, 10, 10, 10, 10]","[16, 18, 6, 6, 6]","[0, 0, 0, 0, 0]","[512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998]","[0, 0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840, 420864]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10]","[16, 18, 6, 6, 6, 12]","[0, 0, 0, 0, 0, 0]","[512, 512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998, 0.006487999999999999]","[0, 0, 0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840, 420864, 420864]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10]","[16, 18, 6, 6, 6, 12, 8]","[0, 0, 0, 0, 0, 0, 0]","[512, 512, 512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998, 0.006487999999999999, 0.002632]","[0, 0, 0, 0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840, 420864, 420864, 433152]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10]","[16, 18, 6, 6, 6, 12, 8, 14]","[0, 0, 0, 0, 0, 0, 0, 0]","[512, 512, 512, 512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998, 0.006487999999999999, 0.002632, 0.005082999999999999]","[0, 0, 0, 0, 0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840, 420864, 420864, 433152, 433152]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10]","[16, 18, 6, 6, 6, 12, 8, 14, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[512, 512, 512, 512, 512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998, 0.006487999999999999, 0.002632, 0.005082999999999999, 0.0036149999999999997]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[419840, 419840, 419840, 419840, 419840, 420864, 420864, 433152, 433152, 433152]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[16, 18, 6, 6, 6, 12, 8, 14, 10, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[512, 512, 512, 512, 512, 512, 512, 512, 512, 512]","[0.00402, 0.004903, 0.002065, 0.001978, 0.0015569999999999998, 0.006487999999999999, 0.002632, 0.005082999999999999, 0.0036149999999999997, 0.002236]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
